team,games,wins,losses,point_diff,win_pct,rank_win_pct,rank_point_diff,rank_gap,mismatch,record_ahead_by
DET,17,15,2,222.0,0.8823529411764706,1,1,0,False,0
KC,17,15,2,59.0,0.8823529411764706,1,11,10,True,10
MIN,17,14,3,100.0,0.8235294117647058,3,9,6,True,6
PHI,17,14,3,160.0,0.8235294117647058,3,2,1,False,-1
BUF,17,13,4,157.0,0.7647058823529411,5,3,2,False,-2
BAL,17,12,5,157.0,0.7058823529411765,6,3,3,False,-3
WAS,17,12,5,94.0,0.7058823529411765,6,10,4,False,4
GB,17,11,6,122.0,0.6470588235294118,8,5,3,False,-3
LAC,17,11,6,101.0,0.6470588235294118,8,8,0,False,0
DEN,17,10,7,114.0,0.5882352941176471,10,7,3,False,-3
HOU,17,10,7,0.0,0.5882352941176471,10,16,6,True,6
LA,17,10,7,-19.0,0.5882352941176471,10,17,7,True,7
PIT,17,10,7,33.0,0.5882352941176471,10,13,3,False,3
SEA,17,10,7,7.0,0.5882352941176471,10,15,5,False,5
TB,17,10,7,117.0,0.5882352941176471,10,6,4,False,-4
CIN,17,9,8,38.0,0.5294117647058824,16,12,4,False,-4
ARI,17,8,9,21.0,0.47058823529411764,17,14,3,False,-3
ATL,17,8,9,-34.0,0.47058823529411764,17,19,2,False,2
IND,17,8,9,-50.0,0.47058823529411764,17,21,4,False,4
MIA,17,8,9,-19.0,0.47058823529411764,17,17,0,False,0
DAL,17,7,10,-118.0,0.4117647058823529,21,26,5,False,5
SF,17,6,11,-47.0,0.35294117647058826,22,20,2,False,-2
CAR,17,5,12,-193.0,0.29411764705882354,23,32,9,True,9
CHI,17,5,12,-60.0,0.29411764705882354,23,22,1,False,-1
NO,17,5,12,-60.0,0.29411764705882354,23,22,1,False,-1
NYJ,17,5,12,-66.0,0.29411764705882354,23,24,1,False,1
JAX,17,4,13,-115.0,0.23529411764705882,27,25,2,False,-2
LV,17,4,13,-125.0,0.23529411764705882,27,27,0,False,0
NE,17,4,13,-128.0,0.23529411764705882,27,28,1,False,1
CLE,17,3,14,-177.0,0.17647058823529413,30,31,1,False,1
NYG,17,3,14,-142.0,0.17647058823529413,30,29,1,False,-1
TEN,17,3,14,-149.0,0.17647058823529413,30,30,0,False,0
